txn_id,sender_id,recipient_id,amount,currency,channel,timestamp,sender_age,sender_tenure_days,sender_typical_amount,recipient_is_new_to_sender,recipient_account_age_days,recipient_distinct_senders_1h,recipient_distinct_senders_24h,recipient_distinct_senders_7d,has_credential_event,credential_event_type,credential_event_minutes_before_txn,credential_failed_attempts,label
TXN-0000000,SND-02664,REC-00792,308.45,XOF,bill_pay,2026-07-21T11:17:01,44,255,249.31,1,129,5,41,152,0,none,0.0,0,1
TXN-0000001,SND-03673,REC-02842,249.51,TZS,p2p,2026-07-02T16:33:08,23,684,263.36,0,99,0,1,2,0,none,0.0,0,0
TXN-0000002,SND-02988,REC-01642,3617.2,GHS,p2p,2026-07-14T13:35:09,40,878,2902.98,1,258,0,1,1,0,none,0.0,0,0
TXN-0000003,SND-03473,REC-02995,162.05,ZAR,agent_cashout,2026-07-26T17:39:11,48,194,135.12,0,306,16,61,160,0,none,0.0,0,1
TXN-0000004,SND-03297,REC-00952,42.07,UGX,bill_pay,2026-07-30T15:25:44,23,402,29.46,0,151,0,0,0,1,device_change,45.1682,7,1
TXN-0000005,SND-01280,REC-01342,1211.45,KES,p2p,2026-07-03T08:21:37,37,985,988.36,0,373,1,1,2,1,sim_swap_alert,42.5173,0,0
TXN-0000006,SND-02784,REC-02816,235.35,TZS,merchant,2026-07-24T07:23:15,38,251,420.67,1,712,0,0,2,0,none,0.0,0,1
TXN-0000007,SND-00322,REC-01483,202.81,UGX,bill_pay,2026-07-02T12:53:38,43,27,199.82,0,231,13,34,101,0,none,0.0,0,0
TXN-0000008,SND-02653,REC-02109,356.56,UGX,p2p,2026-07-18T07:20:23,39,62,144.26,1,286,4,11,102,0,none,0.0,0,1
TXN-0000009,SND-02345,REC-00557,24707.41,NGN,p2p,2026-07-09T19:37:16,48,283,219.71,1,381,0,0,2,1,otp_delay_retry,53.3899,1,0
TXN-0000010,SND-03034,REC-02459,459.08,GHS,p2p,2026-07-14T15:31:26,28,897,168.6,0,17,3,28,83,0,none,0.0,0,1
TXN-0000011,SND-01492,REC-00538,17413.45,UGX,merchant,2026-07-11T12:57:01,21,444,956.64,0,1088,0,0,2,1,password_reset,2.7192,0,0
TXN-0000012,SND-03299,REC-02728,50.86,KES,p2p,2026-07-04T11:54:50,31,681,57.54,0,2696,7,24,137,0,none,0.0,0,1
TXN-0000013,SND-02870,REC-00445,1498.72,UGX,p2p,2026-07-12T07:21:38,44,2242,303.51,1,940,0,2,3,1,otp_delay_retry,74.2294,0,0
TXN-0000014,SND-00486,REC-01205,42.07,ZAR,merchant,2026-07-06T09:48:51,27,363,45.3,1,188,0,0,1,1,otp_delay_retry,9.5073,5,1
TXN-0000015,SND-03129,REC-00276,659.1,NGN,p2p,2026-07-12T13:06:05,31,993,648.9,1,878,0,1,3,1,sim_swap_alert,14.0644,1,0
TXN-0000016,SND-02118,REC-02403,1709.27,GHS,p2p,2026-07-01T11:57:34,33,740,397.0,0,778,0,1,3,1,sim_swap_alert,4.5214,7,0
TXN-0000017,SND-01971,REC-00681,1787.4,UGX,bill_pay,2026-07-06T21:05:11,49,990,173.77,0,159,0,0,2,0,none,0.0,0,1
TXN-0000018,SND-03285,REC-00553,332.88,KES,p2p,2026-07-30T12:26:50,30,81,102.15,1,260,4,23,105,1,pin_failed_then_success,104.0227,1,1
TXN-0000019,SND-03013,REC-02635,71.28,TZS,bill_pay,2026-07-11T08:27:22,40,1581,77.47,0,293,4,39,124,0,none,0.0,0,1
TXN-0000020,SND-03355,REC-01191,149.69,KES,p2p,2026-07-30T09:32:11,33,312,140.07,0,984,0,2,3,0,none,0.0,0,0
TXN-0000021,SND-00953,REC-01484,834.37,GHS,p2p,2026-07-11T09:48:17,34,137,522.46,0,89,14,38,136,0,none,0.0,0,1
TXN-0000022,SND-03031,REC-00807,936.87,NGN,p2p,2026-07-26T02:04:07,32,191,828.01,1,468,0,0,0,0,none,0.0,0,0
TXN-0000023,SND-01170,REC-00121,97.72,TZS,bill_pay,2026-07-23T18:46:31,44,818,44.2,0,238,0,1,2,0,none,0.0,0,0
TXN-0000024,SND-01631,REC-00315,1188.4,TZS,agent_cashout,2026-07-20T13:41:41,34,344,1497.18,0,136,0,0,1,0,none,0.0,0,1
TXN-0000025,SND-03554,REC-01004,446.35,GHS,merchant,2026-07-12T14:10:52,34,77,118.62,0,682,0,3,3,0,none,0.0,0,0
TXN-0000026,SND-03469,REC-01586,1989.07,KES,p2p,2026-07-29T08:52:02,29,162,821.33,1,183,0,0,2,0,none,0.0,0,1
TXN-0000027,SND-00941,REC-02234,3790.69,UGX,p2p,2026-07-16T07:09:17,40,422,849.45,1,554,0,1,2,0,none,0.0,0,1
TXN-0000028,SND-03514,REC-00175,1071.76,ZAR,merchant,2026-07-16T08:45:55,58,514,395.18,0,89,0,1,3,1,sim_swap_alert,100.0888,5,1
TXN-0000029,SND-00275,REC-01142,27605.1,KES,agent_cashout,2026-07-30T08:17:16,20,453,3488.06,0,226,0,0,2,0,none,0.0,0,0
TXN-0000030,SND-00862,REC-02267,61.28,UGX,p2p,2026-07-21T20:30:38,37,306,106.73,0,274,0,0,4,1,sim_swap_alert,10.6665,3,1
TXN-0000031,SND-02811,REC-00261,917.27,NGN,bill_pay,2026-07-08T17:38:07,50,624,1019.42,0,646,0,0,1,1,sim_swap_alert,28.9208,7,0
TXN-0000032,SND-03581,REC-02924,1398.77,ZAR,bill_pay,2026-07-25T11:36:37,34,853,538.2,0,1263,0,1,5,0,none,0.0,0,0
TXN-0000033,SND-02453,REC-01289,455.69,XOF,merchant,2026-07-15T18:44:08,30,30,299.93,1,703,0,0,2,0,none,0.0,0,0
TXN-0000034,SND-00564,REC-00953,794.04,TZS,bill_pay,2026-07-02T20:05:55,30,268,561.87,1,1540,8,31,62,0,none,0.0,0,1
TXN-0000035,SND-03407,REC-02241,33.01,NGN,p2p,2026-07-18T07:10:33,32,150,69.09,0,836,0,0,1,0,none,0.0,0,0
TXN-0000036,SND-02647,REC-01809,5517.7,NGN,bill_pay,2026-07-01T13:58:52,45,36,349.1,0,310,0,0,1,0,none,0.0,0,0
TXN-0000037,SND-00203,REC-02405,6.16,GHS,p2p,2026-07-28T10:10:09,33,559,10.0,0,68,0,0,3,1,password_reset,10.6917,0,0
TXN-0000038,SND-00067,REC-02139,53.25,GHS,p2p,2026-07-12T09:27:24,49,227,119.19,1,368,0,1,4,0,none,0.0,0,0
TXN-0000039,SND-02751,REC-01405,8958.77,UGX,p2p,2026-07-22T19:07:00,38,648,574.83,0,600,0,0,2,1,otp_delay_retry,23.3944,0,1
TXN-0000040,SND-03758,REC-02702,1812.21,NGN,agent_cashout,2026-07-09T17:20:41,36,551,1536.55,0,373,0,0,3,0,none,0.0,0,0
TXN-0000041,SND-03221,REC-00046,303.48,UGX,agent_cashout,2026-07-24T17:49:54,30,765,227.67,0,154,0,1,5,0,none,0.0,0,0
TXN-0000042,SND-03549,REC-00611,3857.56,GHS,p2p,2026-07-25T10:50:06,31,187,294.07,0,41,1,2,7,0,none,0.0,0,0
TXN-0000043,SND-03079,REC-02535,592.78,KES,p2p,2026-07-01T12:52:52,38,55,263.38,0,324,5,32,49,0,none,0.0,0,0
TXN-0000044,SND-00189,REC-00659,120.97,GHS,p2p,2026-07-12T00:17:05,41,580,282.6,0,594,12,23,128,0,none,0.0,0,1
TXN-0000045,SND-03444,REC-01363,1143.57,ZAR,bill_pay,2026-07-30T09:00:51,39,1425,162.03,0,495,0,0,4,0,none,0.0,0,0
TXN-0000046,SND-02423,REC-02534,1377.03,GHS,p2p,2026-07-15T04:33:39,35,186,336.04,1,35,0,0,2,0,none,0.0,0,0
TXN-0000047,SND-00577,REC-00575,119.37,ZAR,bill_pay,2026-07-17T15:25:10,51,244,114.86,0,266,0,1,2,1,pin_failed_then_success,28.1782,7,1
